table,field,description
dim_province,province_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_province,province_name,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_province,region,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_province,terrain,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_province,climate,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_province,notes,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_road,road_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_road,province_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_road,road_name,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_road,road_class,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_road,AADT,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_road,heavy_vehicle_pct,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,bridge_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,bridge_name,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,province_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,road_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,route_code,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,road_class,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,bridge_type,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,main_material,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,length_m,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,width_m,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,span_count,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,completion_year,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,age_years,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,design_load,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,management_unit,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,latitude,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,longitude,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,latest_condition_class,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,latest_BCI,Synthetic bridge asset database field for SQL/Power BI portfolio project
dim_bridge,risk_level,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,inspection_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,bridge_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,inspection_date,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,inspection_type,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,condition_class,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,BCI_score,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,deck_score,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,superstructure_score,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,substructure_score,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,inspector_team,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_inspection,recommended_action,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,defect_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,bridge_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,inspection_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,defect_type,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,component,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,severity,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,description,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,quantity,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,unit,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,estimated_repair_cost_cny,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_defect,requires_special_inspection,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,maintenance_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,bridge_id,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,planned_year,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,maintenance_type,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,priority,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,estimated_budget_cny,Synthetic bridge asset database field for SQL/Power BI portfolio project
fact_maintenance,status,Synthetic bridge asset database field for SQL/Power BI portfolio project
