defect_id,bridge_id,inspection_id,defect_type,component,severity,description,quantity,unit,estimated_repair_cost_cny,requires_special_inspection
DEF-BR0001-1,BR0001,INSP-BR0001-2025,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,47.0,location,170969.0,False
DEF-BR0001-2,BR0001,INSP-BR0001-2025,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",47.9,m2,62068.0,False
DEF-BR0001-3,BR0001,INSP-BR0001-2025,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,54.7,m2,114458.0,False
DEF-BR0001-4,BR0001,INSP-BR0001-2025,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,15.3,location,187139.0,False
DEF-BR0003-1,BR0003,INSP-BR0003-2026,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",59.1,point,359297.0,False
DEF-BR0003-2,BR0003,INSP-BR0003-2026,Spalling,Superstructure,Severe,Concrete cover spalling / exposed aggregate,20.6,m,695245.0,True
DEF-BR0003-3,BR0003,INSP-BR0003-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,2.8,point,62154.0,False
DEF-BR0004-1,BR0004,INSP-BR0004-2026,Pier crack,Substructure,Severe,Vertical/inclined cracking at pier or cap beam,43.1,m,594561.0,True
DEF-BR0004-2,BR0004,INSP-BR0004-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,4.4,location,186267.0,False
DEF-BR0004-3,BR0004,INSP-BR0004-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,0.9,m,182268.0,False
DEF-BR0004-4,BR0004,INSP-BR0004-2026,Crack,Superstructure,Severe,Longitudinal/transverse cracking in girder or slab,38.9,point,218348.0,True
DEF-BR0005-1,BR0005,INSP-BR0005-2025,Abutment settlement,Substructure,Critical,Approach settlement or differential movement,47.9,m2,554505.0,True
DEF-BR0005-2,BR0005,INSP-BR0005-2025,Rebar corrosion,Superstructure,Critical,Exposed or corroded reinforcement,46.1,m,1244468.0,True
DEF-BR0005-3,BR0005,INSP-BR0005-2025,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,10.0,location,116330.0,False
DEF-BR0005-4,BR0005,INSP-BR0005-2025,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,46.4,m2,156817.0,False
DEF-BR0006-1,BR0006,INSP-BR0006-2022,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,28.0,m2,159810.0,False
DEF-BR0006-2,BR0006,INSP-BR0006-2022,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,50.2,m2,15990.0,False
DEF-BR0006-3,BR0006,INSP-BR0006-2022,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,12.3,m,25806.0,False
DEF-BR0007-1,BR0007,INSP-BR0007-2025,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",49.9,m2,66858.0,False
DEF-BR0007-2,BR0007,INSP-BR0007-2025,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,26.2,point,128215.0,False
DEF-BR0007-3,BR0007,INSP-BR0007-2025,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,9.1,point,170463.0,False
DEF-BR0008-1,BR0008,INSP-BR0008-2024,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,23.4,point,138650.0,False
