inspection_id,bridge_id,inspection_date,inspection_type,condition_class,BCI_score,deck_score,superstructure_score,substructure_score,inspector_team,recommended_action
INSP-BR0001-2021,BR0001,2021-11-11,Regular inspection,2,85.1,77.5,80.7,85.0,Team A,Routine maintenance
INSP-BR0001-2025,BR0001,2025-07-05,Regular inspection,2,88.1,94.8,95.3,99.2,Team B,Routine maintenance
INSP-BR0002-2021,BR0002,2021-06-20,Special inspection,1,91.7,94.5,99.7,97.6,External consultant,Routine maintenance
INSP-BR0002-2022,BR0002,2022-03-25,Regular inspection,1,96.8,96.7,89.4,100,Team B,Routine maintenance
INSP-BR0002-2023,BR0002,2023-08-06,Regular inspection,1,96.1,96.5,100,88.4,External consultant,Routine maintenance
INSP-BR0002-2024,BR0002,2024-10-16,Regular inspection,1,96.7,97.5,91.0,91.2,Team A,Routine maintenance
INSP-BR0003-2023,BR0003,2023-07-05,Regular inspection,1,99.0,93.4,91.2,100,Team C,Routine maintenance
INSP-BR0003-2026,BR0003,2026-10-21,Frequent inspection,1,96.8,100,90.2,100,Team B,Routine maintenance
INSP-BR0004-2022,BR0004,2022-03-16,Regular inspection,3,64.9,64.0,59.8,68.5,Team C,Repair planning
INSP-BR0004-2024,BR0004,2024-07-05,Frequent inspection,4,43.6,46.5,47.0,41.8,External consultant,Major repair / load assessment
INSP-BR0004-2026,BR0004,2026-03-01,Frequent inspection,4,45.0,39.5,47.9,43.9,Team A,Major repair / load assessment
INSP-BR0005-2022,BR0005,2022-09-13,Regular inspection,2,83.0,73.9,81.8,90.5,Team A,Routine maintenance
INSP-BR0005-2023,BR0005,2023-10-23,Frequent inspection,3,68.8,62.6,71.0,65.9,Team B,Repair planning
INSP-BR0005-2025,BR0005,2025-07-20,Regular inspection,3,61.6,64.8,70.1,63.2,Team B,Repair planning
INSP-BR0006-2021,BR0006,2021-08-02,Special inspection,2,86.4,77.1,76.4,88.5,External consultant,Routine maintenance
INSP-BR0006-2022,BR0006,2022-04-20,Regular inspection,2,77.0,85.0,80.6,86.8,Team C,Routine maintenance
INSP-BR0007-2022,BR0007,2022-05-09,Special inspection,2,89.2,85.4,89.5,91.8,Team B,Routine maintenance
INSP-BR0007-2023,BR0007,2023-05-24,Regular inspection,3,66.9,56.3,63.5,58.5,Team B,Repair planning
INSP-BR0007-2024,BR0007,2024-08-22,Regular inspection,3,61.5,69.0,63.2,73.5,Team C,Repair planning
INSP-BR0007-2025,BR0007,2025-03-02,Regular inspection,3,61.6,63.8,60.6,60.2,External consultant,Repair planning
INSP-BR0008-2022,BR0008,2022-09-07,Regular inspection,2,80.3,69.6,74.8,89.5,Team C,Routine maintenance
INSP-BR0008-2023,BR0008,2023-06-23,Regular inspection,2,76.4,79.8,77.3,73.9,Team C,Routine maintenance
INSP-BR0008-2024,BR0008,2024-07-20,Regular inspection,2,89.4,90.5,83.6,84.1,Team A,Routine maintenance
INSP-BR0009-2022,BR0009,2022-07-24,Regular inspection,2,77.1,74.4,71.2,73.9,Team C,Routine maintenance
INSP-BR0009-2023,BR0009,2023-05-09,Regular inspection,2,83.2,76.1,84.7,93.4,Team C,Routine maintenance
INSP-BR0009-2024,BR0009,2024-10-16,Regular inspection,2,86.6,82.4,76.6,90.3,Team A,Routine maintenance
INSP-BR0010-2022,BR0010,2022-05-24,Special inspection,1,96.6,94.6,100,100,Team C,Routine maintenance
INSP-BR0010-2023,BR0010,2023-07-07,Regular inspection,1,97.6,100,93.5,90.7,Team C,Routine maintenance
INSP-BR0010-2024,BR0010,2024-09-05,Regular inspection,2,89.5,78.4,83.5,86.8,Team A,Routine maintenance
INSP-BR0010-2026,BR0010,2026-06-17,Special inspection,2,84.6,81.0,79.0,77.1,External consultant,Routine maintenance
INSP-BR0011-2022,BR0011,2022-04-04,Regular inspection,2,81.7,87.3,71.7,78.9,Team A,Routine maintenance
INSP-BR0011-2023,BR0011,2023-04-15,Regular inspection,3,64.6,65.5,67.9,59.1,External consultant,Repair planning
INSP-BR0011-2024,BR0011,2024-03-23,Regular inspection,3,62.8,63.6,66.9,57.8,Team B,Repair planning
INSP-BR0012-2022,BR0012,2022-05-11,Regular inspection,1,94.6,98.1,100,89.1,External consultant,Routine maintenance
INSP-BR0012-2023,BR0012,2023-06-08,Regular inspection,2,86.2,86.5,95.2,85.1,Team A,Routine maintenance
